epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr,epoch_time_s,best
1,0.6190,0.6926,0.5570,0.6991,0.8291,0.7140,0.7673,0.7584,9.99e-04,185.1,best
2,0.5428,0.7322,0.5542,0.7262,0.7504,0.9079,0.8217,0.7472,9.97e-04,19.0,best
3,0.4949,0.7610,0.5120,0.7573,0.8133,0.8445,0.8286,0.8131,9.94e-04,18.7,best
4,0.4709,0.7766,0.5184,0.7316,0.9130,0.6782,0.7783,0.8502,9.90e-04,19.7,
5,0.4395,0.7943,0.4070,0.7978,0.9032,0.7940,0.8451,0.8824,9.84e-04,18.6,best
6,0.4294,0.7971,0.4012,0.8013,0.8997,0.8036,0.8489,0.8872,9.77e-04,18.6,best
7,0.4091,0.8086,0.4206,0.8040,0.9113,0.7953,0.8493,0.8875,9.68e-04,19.2,
8,0.3816,0.8274,0.5129,0.7396,0.9327,0.6737,0.7823,0.8699,9.59e-04,18.5,
9,0.3802,0.8314,0.3553,0.8387,0.8953,0.8695,0.8822,0.9108,9.48e-04,18.6,best
10,0.3536,0.8424,0.3933,0.8098,0.9109,0.8049,0.8546,0.9042,9.36e-04,18.7,
11,0.3518,0.8411,0.3515,0.8391,0.9348,0.8260,0.8770,0.9245,9.23e-04,18.8,best
12,0.3438,0.8488,0.3863,0.8151,0.9442,0.7799,0.8542,0.9278,9.09e-04,18.5,
13,0.3193,0.8616,0.3573,0.8316,0.9465,0.8029,0.8688,0.9305,8.94e-04,18.5,
14,0.3147,0.8603,0.3450,0.8631,0.9147,0.8855,0.8999,0.9293,8.78e-04,19.2,best
15,0.3044,0.8668,0.5068,0.7556,0.9783,0.6628,0.7902,0.9251,8.61e-04,18.5,
16,0.2954,0.8703,0.3051,0.8573,0.9118,0.8797,0.8955,0.9324,8.43e-04,18.7,best
17,0.2870,0.8741,0.3535,0.8333,0.9598,0.7933,0.8687,0.9448,8.24e-04,19.0,
18,0.2787,0.8782,0.2703,0.8796,0.9048,0.9239,0.9142,0.9462,8.04e-04,18.7,best
19,0.2674,0.8832,0.2456,0.8889,0.9070,0.9360,0.9213,0.9563,7.84e-04,18.5,best
20,0.2554,0.8908,0.2811,0.8751,0.9251,0.8925,0.9085,0.9477,7.62e-04,18.5,
21,0.2458,0.8945,0.2717,0.8724,0.9079,0.9085,0.9082,0.9444,7.41e-04,19.1,
22,0.2385,0.8977,0.2572,0.8920,0.9198,0.9251,0.9225,0.9523,7.18e-04,18.5,
23,0.2342,0.8994,0.2576,0.8742,0.9272,0.8887,0.9075,0.9541,6.95e-04,18.4,
24,0.2236,0.9047,0.2444,0.8951,0.9213,0.9283,0.9248,0.9567,6.72e-04,19.2,best
25,0.2212,0.9047,0.2998,0.8653,0.9526,0.8484,0.8975,0.9553,6.48e-04,18.6,
26,0.2152,0.9076,0.2456,0.8920,0.9110,0.9360,0.9233,0.9567,6.24e-04,18.5,
27,0.2138,0.9118,0.2984,0.8764,0.9534,0.8644,0.9067,0.9556,5.99e-04,18.9,
28,nan,0.9140,nan,0.3053,0.0000,0.0000,0.0000,1.0000,5.75e-04,18.6,
29,0.1908,0.9206,nan,0.3053,0.0000,0.0000,0.0000,1.0000,5.50e-04,18.5,
30,0.1847,0.9203,nan,0.3053,0.0000,0.0000,0.0000,1.0000,5.25e-04,18.5,
31,0.1863,0.9198,nan,0.3053,0.0000,0.0000,0.0000,1.0000,5.00e-04,19.4,
32,0.1725,0.9290,nan,0.3053,0.0000,0.0000,0.0000,1.0000,4.75e-04,18.7,
33,0.1612,0.9338,nan,0.3053,0.0000,0.0000,0.0000,1.0000,4.51e-04,18.6,
34,0.1592,0.9351,nan,0.3053,0.0000,0.0000,0.0000,1.0000,4.26e-04,19.1,
35,0.1548,0.9353,nan,0.3053,0.0000,0.0000,0.0000,1.0000,4.02e-04,18.5,
36,0.1409,0.9427,nan,0.3053,0.0000,0.0000,0.0000,1.0000,3.78e-04,18.6,
