epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr,epoch_time_s,best
1,0.6249,0.6860,0.5194,0.7204,0.8677,0.7051,0.7780,0.8017,9.99e-04,202.5,best
2,0.5390,0.7321,0.6269,0.6644,0.9519,0.5445,0.6927,0.8411,9.97e-04,19.4,
3,0.4842,0.7715,0.8060,0.7200,0.7596,0.8733,0.8125,0.7653,9.94e-04,18.8,
4,0.4673,0.7790,0.5530,0.7253,0.9315,0.6526,0.7675,0.8588,9.90e-04,19.4,
5,0.4293,0.8014,0.4056,0.8004,0.8660,0.8433,0.8545,0.8743,9.84e-04,20.0,best
6,0.4211,0.8061,0.3898,0.8151,0.8816,0.8477,0.8643,0.8901,9.77e-04,18.9,best
7,0.4014,0.8139,0.3946,0.8129,0.9223,0.7978,0.8556,0.9030,9.68e-04,18.8,
8,0.3778,0.8301,0.6331,0.6907,0.9558,0.5816,0.7232,0.8668,9.59e-04,19.6,
9,0.3698,0.8363,0.3733,0.8009,0.8051,0.9411,0.8678,0.8985,9.48e-04,18.9,best
10,0.3405,0.8493,0.3751,0.8258,0.9296,0.8106,0.8660,0.9213,9.36e-04,18.8,
11,0.3379,0.8493,0.3144,0.8622,0.9247,0.8727,0.8980,0.9349,9.23e-04,19.7,best
12,0.3319,0.8499,0.3290,0.8453,0.9152,0.8567,0.8850,0.9271,9.09e-04,19.5,
13,0.3091,0.8663,0.3288,0.8458,0.9234,0.8484,0.8843,0.9324,8.94e-04,19.2,
14,0.3092,0.8653,0.3415,0.8542,0.9204,0.8650,0.8918,0.9317,8.78e-04,20.7,
15,0.2978,0.8700,0.6354,0.7102,0.9810,0.5944,0.7402,0.9125,8.61e-04,20.9,
16,0.2956,0.8728,0.3106,0.8511,0.8795,0.9104,0.8947,0.9283,8.43e-04,20.4,best
17,0.2846,0.8727,0.3578,0.8338,0.9514,0.8017,0.8701,0.9357,8.24e-04,19.5,
18,0.2687,0.8855,0.2633,0.8827,0.8977,0.9379,0.9174,0.9490,8.04e-04,19.0,best
19,0.2717,0.8793,0.2570,0.8867,0.9017,0.9392,0.9201,0.9530,7.84e-04,19.0,best
20,0.2593,0.8887,0.3740,0.8280,0.9558,0.7889,0.8644,0.9402,7.62e-04,19.2,
21,0.2463,0.8911,0.2942,0.8613,0.9402,0.8548,0.8954,0.9497,7.41e-04,19.5,
22,0.2389,0.8994,0.2727,0.8747,0.9527,0.8624,0.9053,0.9566,7.18e-04,19.3,
23,0.2336,0.9001,0.2969,0.8729,0.8771,0.9501,0.9122,0.9427,6.95e-04,19.2,
24,0.2293,0.9069,0.2495,0.8880,0.9243,0.9136,0.9189,0.9544,6.72e-04,19.8,best
25,0.2188,0.9085,0.2654,0.8822,0.9292,0.8989,0.9138,0.9510,6.48e-04,20.6,
26,0.2176,0.9064,0.2626,0.8871,0.9140,0.9245,0.9192,0.9506,6.24e-04,20.7,
27,0.2124,0.9073,0.3216,0.8658,0.9494,0.8522,0.8982,0.9520,5.99e-04,21.6,
28,0.1993,0.9158,0.2378,0.8996,0.9181,0.9392,0.9285,0.9597,5.75e-04,20.9,best
29,0.1919,0.9208,0.2598,0.8902,0.9398,0.8996,0.9193,0.9587,5.50e-04,20.3,
30,0.1884,0.9206,0.2333,0.8982,0.9281,0.9251,0.9266,0.9606,5.25e-04,21.2,best
31,0.1830,0.9230,0.2336,0.8982,0.9259,0.9277,0.9268,0.9594,5.00e-04,20.8,
32,0.1697,0.9312,0.2708,0.8827,0.9610,0.8663,0.9112,0.9637,4.75e-04,20.2,
33,0.1651,0.9336,0.2615,0.8880,0.9136,0.9264,0.9199,0.9554,4.51e-04,19.5,
34,0.1559,0.9372,0.2224,0.9098,0.9337,0.9367,0.9352,0.9672,4.26e-04,18.8,best
35,0.1521,0.9368,0.2397,0.8978,0.9342,0.9175,0.9258,0.9645,4.02e-04,18.7,
36,0.1415,0.9445,0.2436,0.9031,0.9138,0.9501,0.9316,0.9631,3.78e-04,19.2,
37,0.1398,0.9425,0.2208,0.9044,0.9213,0.9431,0.9320,0.9660,3.55e-04,19.1,best
38,0.1349,0.9459,0.2367,0.9053,0.9327,0.9309,0.9318,0.9645,3.32e-04,19.1,
39,0.1220,0.9511,0.2583,0.8911,0.9501,0.8900,0.9191,0.9666,3.09e-04,19.5,
40,0.1122,0.9548,0.2224,0.9076,0.9329,0.9341,0.9335,0.9692,2.88e-04,19.4,
41,0.1095,0.9555,0.2268,0.9133,0.9413,0.9335,0.9374,0.9694,2.66e-04,18.7,
42,0.1065,0.9581,0.2470,0.9111,0.9428,0.9283,0.9355,0.9680,2.46e-04,18.7,
43,0.1098,0.9568,0.2368,0.9089,0.9260,0.9443,0.9351,0.9671,2.26e-04,19.4,
44,0.0915,0.9634,0.2578,0.9053,0.9272,0.9373,0.9322,0.9642,2.07e-04,18.8,
45,0.0949,0.9623,0.2857,0.8924,0.9521,0.8900,0.9200,0.9655,1.89e-04,18.7,
46,0.0847,0.9663,0.2628,0.9080,0.9386,0.9283,0.9334,0.9691,1.72e-04,19.3,
47,0.0803,0.9685,0.2703,0.9076,0.9526,0.9123,0.9320,0.9692,1.56e-04,18.8,
48,0.0785,0.9687,0.2736,0.9031,0.9439,0.9149,0.9292,0.9654,1.41e-04,18.7,
49,0.0717,0.9722,0.2613,0.9058,0.9471,0.9155,0.9310,0.9691,1.27e-04,18.8,
