epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr,epoch_time_s,best
1,0.5874,0.6206,0.6970,0.6338,0.9110,0.5240,0.6653,0.7805,9.99e-04,33.1,best
2,0.5161,0.6760,0.8738,0.5369,0.9468,0.3532,0.5144,0.7988,9.97e-04,29.3,
3,0.4806,0.7057,0.8113,0.5382,0.9695,0.3461,0.5101,0.8261,9.94e-04,30.1,
4,0.4608,0.7260,0.4897,0.7667,0.8891,0.7588,0.8188,0.8482,9.90e-04,30.0,best
5,0.4447,0.7334,0.6044,0.6791,0.9459,0.5707,0.7119,0.8535,9.84e-04,30.1,
6,0.4226,0.7507,0.4992,0.7316,0.9511,0.6468,0.7700,0.8769,9.77e-04,29.3,
7,0.4093,0.7604,0.7355,0.6142,0.9754,0.4562,0.6216,0.8892,9.68e-04,29.8,
8,0.4007,0.7643,0.5271,0.7324,0.9486,0.6500,0.7715,0.8788,9.59e-04,30.1,
9,0.3828,0.7797,0.5543,0.7227,0.9580,0.6283,0.7589,0.8693,9.48e-04,29.6,
10,0.3809,0.7809,0.5800,0.7360,0.9708,0.6392,0.7708,0.8880,9.36e-04,29.7,
11,0.3660,0.7948,0.8220,0.6102,0.9804,0.4479,0.6148,0.8708,9.23e-04,29.2,
12,0.3519,0.7991,0.4038,0.8062,0.9406,0.7697,0.8466,0.9108,9.09e-04,30.2,best
13,0.3579,0.8000,0.5098,0.7627,0.9716,0.6782,0.7988,0.9170,8.94e-04,29.5,
14,0.3302,0.8184,0.5520,0.7413,0.9776,0.6424,0.7753,0.9195,8.78e-04,30.2,
15,0.3358,0.8141,0.6693,0.6907,0.9801,0.5662,0.7178,0.9058,8.61e-04,29.8,
16,0.3271,0.8177,0.7513,0.6831,0.9852,0.5521,0.7077,0.8990,8.43e-04,29.4,
17,0.3060,0.8295,0.4241,0.7942,0.9606,0.7338,0.8321,0.9298,8.24e-04,29.0,
18,0.3006,0.8349,0.3733,0.8156,0.9436,0.7812,0.8547,0.9184,8.04e-04,30.3,best
19,0.2918,0.8420,0.3760,0.8093,0.9617,0.7556,0.8463,0.9380,7.84e-04,29.5,
20,0.2844,0.8458,0.3449,0.8373,0.9476,0.8106,0.8738,0.9328,7.62e-04,30.2,best
21,0.2828,0.8489,0.3504,0.8236,0.9576,0.7806,0.8601,0.9391,7.41e-04,29.3,
22,0.2726,0.8520,0.3143,0.8489,0.9546,0.8215,0.8831,0.9461,7.18e-04,30.5,best
23,0.2605,0.8574,0.3717,0.8280,0.9667,0.7793,0.8629,0.9472,6.95e-04,29.1,
24,0.2587,0.8603,0.3990,0.7987,0.9760,0.7281,0.8340,0.9473,6.72e-04,29.9,
25,0.2434,0.8656,0.3058,0.8520,0.9659,0.8157,0.8845,0.9537,6.48e-04,30.5,best
26,0.2427,0.8648,0.4180,0.8062,0.9804,0.7358,0.8406,0.9522,6.24e-04,29.1,
27,0.2479,0.8644,0.4921,0.7618,0.9886,0.6647,0.7950,0.9513,5.99e-04,29.4,
28,0.2228,0.8775,0.4154,0.8227,0.9671,0.7710,0.8580,0.9501,5.75e-04,29.1,
29,0.2287,0.8805,0.3681,0.8271,0.9749,0.7710,0.8610,0.9506,5.50e-04,30.0,
